source_row_index,filtered_row_index,op_id,_oil_norm,Bezeichnung,Drehzahl,Ölbezeichnung,Kältemittel,T1_SH,T_evap,T_cond,N,P1_mean,P2_mean,T1_mean,T2_mean,T7_mean,Tamb_mean,Pel_mean,suction_mf_mean
82,80,N60_SH10_Te20_Tc60,LPG100,T2s60_10SH,60.0,LPG100,Propan,10.0,20.0,60.0,3608.9,8.38725,21.2682,29.7166,76.3878,70.256,29.3616,1936.83,29.6838
19,19,N60_SH10_Te20_Tc60,LPG68,T2s60_10SH,60.0,LPG68,Propan,10.0,20.0,60.0,3608.9,8.32119,21.2386,29.9379,76.7835,72.1696,27.3602,1921.37,28.9463
83,81,N60_SH10_Te25_Tc60,LPG100,T2s60_10SH,60.0,LPG100,Propan,10.0,25.0,60.0,3608.9,9.65207,21.3271,33.771,74.6377,69.7616,29.7366,1892.12,34.8037
20,20,N60_SH10_Te25_Tc60,LPG68,T2s60_10SH,60.0,LPG68,Propan,10.0,25.0,60.0,3608.9,9.47442,21.1756,34.7889,76.1203,71.5515,28.2351,1878.16,33.2654
87,85,N60_SH20_Te0_Tc60,LPG100,T2s60_20SH,60.0,LPG100,Propan,20.0,0.0,60.0,3608.9,4.66777,21.2313,19.6299,92.8788,84.4122,30.0652,1883.39,15.1235
24,24,N60_SH20_Te0_Tc60,LPG68,T2s60_20SH,60.0,LPG68,Propan,20.0,0.0,60.0,3608.9,4.70768,21.151,19.0416,92.403,84.7057,30.711,1874.54,15.2689
88,86,N60_SH20_Te10_Tc60,LPG100,T2s60_20SH,60.0,LPG100,Propan,20.0,10.0,60.0,3608.9,6.37258,21.1373,29.3931,88.3464,80.719,30.5538,1953.31,20.8951
25,25,N60_SH20_Te10_Tc60,LPG68,T2s60_20SH,60.0,LPG68,Propan,20.0,10.0,60.0,3608.9,6.37173,21.2133,31.8268,90.3913,83.1867,30.9247,1944.94,20.6885
89,87,N60_SH20_Te20_Tc60,LPG100,T2s60_20SH,60.0,LPG100,Propan,20.0,20.0,60.0,3608.9,8.19889,21.1729,41.1529,89.9318,83.2465,31.254,1949.37,26.8434
26,26,N60_SH20_Te20_Tc60,LPG68,T2s60_20SH,60.0,LPG68,Propan,20.0,20.0,60.0,3608.9,8.46994,21.1586,40.5418,86.2709,79.9317,30.7809,1925.53,28.0356
93,91,N60_SH30_Te0_Tc60,LPG100,T2s60_30SH,60.0,LPG100,Propan,30.0,0.0,60.0,3608.9,4.68649,21.2616,28.9224,100.626,91.6682,31.3145,1888.25,14.5735
30,30,N60_SH30_Te0_Tc60,LPG68,T2s60_30SH,60.0,LPG68,Propan,30.0,0.0,60.0,3608.9,4.72849,21.2327,30.1594,100.675,91.7678,32.1022,1870.67,14.6311
94,92,N60_SH30_Te10_Tc60,LPG100,T2s60_30SH,60.0,LPG100,Propan,30.0,10.0,60.0,3608.9,6.41268,21.0873,40.878,97.2345,88.611,31.3159,1951.9,20.0216
31,31,N60_SH30_Te10_Tc60,LPG68,T2s60_30SH,60.0,LPG68,Propan,30.0,10.0,60.0,3608.9,6.46011,21.1451,39.4013,95.8945,87.3214,31.6505,1943.91,20.4809
95,93,N60_SH30_Te20_Tc60,LPG100,T2s60_30SH,60.0,LPG100,Propan,30.0,20.0,60.0,3608.9,8.35742,21.2292,50.9772,94.7969,86.3425,31.659,1937.84,26.4246
32,32,N60_SH30_Te20_Tc60,LPG68,T2s60_30SH,60.0,LPG68,Propan,30.0,20.0,60.0,3608.9,8.43544,21.1507,50.6304,93.6914,85.5294,31.757,1918.37,26.7902
97,94,N70_SH10_Te0_Tc30,LPG100,T2s30_10SH,70.0,LPG100,Propan,10.0,0.0,30.0,4209.79,4.75184,10.6823,11.6171,53.9332,48.2044,21.5625,1379.35,20.1158
34,33,N70_SH10_Te0_Tc30,LPG68,T2s30_10SH,70.0,LPG68,Propan,10.0,0.0,30.0,4209.79,4.76662,10.7354,9.62169,53.0269,47.8138,23.5323,1342.0,19.7802
98,95,N70_SH10_Te5_Tc30,LPG100,T2s30_10SH,70.0,LPG100,Propan,10.0,5.0,30.0,4209.79,5.48869,10.7933,15.5683,53.5398,48.9761,22.2273,1343.64,22.5226
35,34,N70_SH10_Te5_Tc30,LPG68,T2s30_10SH,70.0,LPG68,Propan,10.0,5.0,30.0,4209.79,5.50719,10.7134,14.6792,50.5768,46.1251,22.7997,1292.38,22.8425
99,96,N70_SH10_Te10_Tc30,LPG100,T2s30_10SH,70.0,LPG100,Propan,10.0,10.0,30.0,4209.79,6.33379,10.8049,19.2686,49.5754,45.8029,22.1193,1251.86,26.3224
36,35,N70_SH10_Te10_Tc30,LPG68,T2s30_10SH,70.0,LPG68,Propan,10.0,10.0,30.0,4209.79,6.34355,10.822,20.6687,49.4211,45.2379,22.2392,1215.82,26.344
100,97,N70_SH10_Te0_Tc40,LPG100,T2s40_10SH,70.0,LPG100,Propan,10.0,0.0,40.0,4209.79,4.72594,13.6967,10.0994,64.2895,58.379,24.4212,1658.49,19.4329
37,36,N70_SH10_Te0_Tc40,LPG68,T2s40_10SH,70.0,LPG68,Propan,10.0,0.0,40.0,4209.79,4.76048,13.6925,10.274,62.8672,56.0321,25.7487,1581.37,19.486
101,98,N70_SH10_Te5_Tc40,LPG100,T2s40_10SH,70.0,LPG100,Propan,10.0,5.0,40.0,4209.79,5.50356,13.7091,14.3002,61.6252,56.314,24.8952,1637.5,22.6959
38,37,N70_SH10_Te5_Tc40,LPG68,T2s40_10SH,70.0,LPG68,Propan,10.0,5.0,40.0,4209.79,5.4715,13.7062,15.1424,61.3275,55.0442,26.3777,1564.67,22.4913
102,99,N70_SH10_Te10_Tc40,LPG100,T2s40_10SH,70.0,LPG100,Propan,10.0,10.0,40.0,4209.79,6.34686,13.7236,20.1023,60.3546,55.3792,24.9701,1590.61,26.1285
39,38,N70_SH10_Te10_Tc40,LPG68,T2s40_10SH,70.0,LPG68,Propan,10.0,10.0,40.0,4209.79,6.3016,13.7316,20.3583,59.882,54.0018,26.75,1524.29,25.9291
103,100,N70_SH10_Te15_Tc40,LPG100,T2s40_10SH,70.0,LPG100,Propan,10.0,15.0,40.0,4209.79,7.28573,13.7451,25.5327,58.7348,53.9986,25.2137,1516.06,30.0398
40,39,N70_SH10_Te15_Tc40,LPG68,T2s40_10SH,70.0,LPG68,Propan,10.0,15.0,40.0,4209.79,7.28787,13.7411,24.9045,57.0672,51.5189,27.0,1443.75,30.2973
104,101,N70_SH10_Te20_Tc40,LPG100,T2s40_10SH,70.0,LPG100,Propan,10.0,20.0,40.0,4209.79,8.20548,13.7166,30.9079,58.2189,53.6644,25.3858,1415.74,33.8767
