Einheiten;1/s;LPG68/LPG100;Propan/R290;in K;in ℃;in ℃;in bar;in bar;in ℃;in bar;in bar;in ℃;in ℃;in ℃;in ℃;in W;in g/s;in 1/min
Bezeichnung;Drehzahl;Ölbezeichnung;Kältemittel;T1_SH;T_evap;T_cond;p1_SP;p2_SP_mean;T1_SP_mean;P1_mean;P2_mean;T1_mean;T2_mean;T7_mean;Tamb_mean;Pel_mean;suction_mf_mean;N
T2s60_10SH;60;LPG100;Propan;10;15;60;7,32975;21,1945;25,0695;7,30437;21,2177;24,8096;77,6093;72,2261;29,1438;1949,63;25,6164;3608,9
T2s60_10SH;60;LPG100;Propan;10;20;60;8,347;21,1945;30,0695;8,38725;21,2682;29,7166;76,3878;70,256;29,3616;1936,83;29,6838;3608,9
T2s60_10SH;60;LPG100;Propan;10;25;60;9,5345;21,1945;35,139;9,65207;21,3271;33,771;74,6377;69,7616;29,7366;1892,12;34,8037;3608,9
T2s50_20SH;60;LPG100;Propan;20;0;50;4,72075;17,1945;20,0695;4,6892;17,1753;19,4663;81,5771;74,2671;28,0788;1636,87;15,421;3608,9
T2s50_20SH;60;LPG100;Propan;20;10;50;6,34575;17,1945;30,0695;6,34628;17,1982;29,7049;77,284;70,2356;26,8063;1644,22;21,1256;3608,9
T2s50_20SH;60;LPG100;Propan;20;20;50;8,3165;17,1945;40,139;8,31678;17,2186;40,8427;76,6938;70,2524;27,3502;1555,8;27,8063;3608,9
T2s60_20SH;60;LPG100;Propan;20;0;60;4,7295;21,1945;20,0695;4,66777;21,2313;19,6299;92,8788;84,4122;30,0652;1883,39;15,1235;3608,9
T2s60_20SH;60;LPG100;Propan;20;10;60;6,3545;21,1945;30,0695;6,37258;21,1373;29,3931;88,3464;80,719;30,5538;1953,31;20,8951;3608,9
T2s60_20SH;60;LPG100;Propan;20;20;60;8,334;21,1945;40,139;8,19889;21,1729;41,1529;89,9318;83,2465;31,254;1949,37;26,8434;3608,9
T2s50_30SH;60;LPG100;Propan;30;0;50;4,72075;17,1945;30,0695;4,75725;17,1867;28,7228;89,7019;82,2517;29,3829;1611,33;15,4817;3608,9
T2s50_30SH;60;LPG100;Propan;30;10;50;6,34575;17,1945;40,139;6,34588;17,1857;41,2333;88,4392;80,8714;30,1813;1627,08;20,2014;3608,9
T2s50_30SH;60;LPG100;Propan;30;20;50;8,3165;17,1945;50,139;8,37903;17,2138;49,9756;83,2085;75,1839;28,0563;1541,36;26,9469;3608,9
T2s60_30SH;60;LPG100;Propan;30;0;60;4,7295;21,1945;30,0695;4,68649;21,2616;28,9224;100,626;91,6682;31,3145;1888,25;14,5735;3608,9
T2s60_30SH;60;LPG100;Propan;30;10;60;6,3545;21,1945;40,139;6,41268;21,0873;40,878;97,2345;88,611;31,3159;1951,9;20,0216;3608,9
T2s60_30SH;60;LPG100;Propan;30;20;60;8,334;21,1945;50,139;8,35742;21,2292;50,9772;94,7969;86,3425;31,659;1937,84;26,4246;3608,9
;;;;;;;;;;;;;;;;;;
T2s30_10SH;70;LPG100;Propan;10;0;30;4,73875;10,7847;10,0347;4,75184;10,6823;11,6171;53,9332;48,2044;21,5625;1379,35;20,1158;4209,79
