LPG100/LPG68;R290 (Propan);in Pa;in ℃;in Pa;in ℃;in ℃;in ℃;in kg/s;in W;in 1/min;in mPas
Ölbezeichnung;Kältemittel;P1_mean;T1_mean;P2_mean;Tamb_mean;T2_mean;T7_mean;suction_mf_mean;Pel_mean;N;dyn_viscosity_mean
LPG68;R290;6,30283;19,8056;13,6894;20,1546;57,4717;52,1025;22,5857;1316,15;3608,9;8,30234
LPG68;R290;7,26939;24,6571;13,7288;20,5833;57,0956;52,372;25,9376;1250,77;3608,9;8,37462
LPG68;R290;8,39389;29,9919;13,6998;20,8887;55,4081;50,9747;30,0183;1139,59;3608,9;7,71116
LPG68;R290;9,38441;35,3264;13,7072;21,0484;55,5273;51,2892;33,6089;1027,27;3608,9;7,82148
;;;;;;;;;;;
LPG68;R290;4,75311;9,9048;17,1935;26,2379;72,8888;66,769;16,4602;1625,09;3608,9;5,83067
LPG68;R290;5,53394;14,5325;17,2024;27,3065;70,6471;65,3187;19,2189;1641,16;3608,9;5,53533
LPG68;R290;6,39275;20,6983;17,1276;26,7675;69,1915;63,4953;22,1482;1618,66;3608,9;5,27243
LPG68;R290;7,28526;24,6838;17,1941;26,504;66,8215;62,1338;25,5488;1587,98;3608,9;4,97665
LPG68;R290;8,37978;30,7662;17,2361;26,8575;66,4899;62,0329;29,5286;1524,13;3608,9;4,95156
LPG68;R290;9,42186;36,6651;17,1474;27,0901;67,4533;62,6252;33,173;1446,86;3608,9;4,94204
;;;;;;;;;;;
LPG68;R290;4,75998;10,0578;21,2214;24,754;83,4518;77,3054;16,0946;1883,77;3608,9;3,84554
LPG68;R290;5,47093;14,6078;21,2197;26,4879;81,4971;75,8775;18,5994;1922,46;3608,9;3,69584
LPG68;R290;6,33767;20,1467;21,2408;26,8024;80,3724;74,7799;21,6908;1944,61;3608,9;3,56294
LPG68;R290;7,28752;24,8711;21,1725;27,1922;77,683;73,2058;25,1205;1943,15;3608,9;3,28847
LPG68;R290;8,32119;29,9379;21,2386;27,3602;76,7835;72,1696;28,9463;1921,37;3608,9;3,16956
LPG68;R290;9,47442;34,7889;21,1756;28,2351;76,1203;71,5515;33,2654;1878,16;3608,9;2,97447
;;;;;;;;;;;
LPG68;R290;4,73894;20,6698;17,1369;27,8441;81,8407;74,4012;15,6205;1628,12;3608,9;6,22088
LPG68;R290;6,36114;30,159;17,1379;28,7935;78,1035;71,4997;21,0768;1636,07;3608,9;6,12516
